;Tset;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anzahl;AnzahlVS;FilterGr;FilterGrVS;FilterNum;FilterNumVS;FilterPos;FilterPosVS;Invers;InversVS;Limit;LimitVS;Ober;OberVS;Regex;RegexVS;Reihenfolge;ReihenfolgeVS;Select;SelectVS;SelectVSVS;Struktur;StrukturVS;Subselect;SubselectVS;Type;TypeVS;Union;UnionVS;Path;PathVS;Distinct;DistinctVS;DistinctVSVS;Minus;MinusVS;MinusVSVS
2045,29;7,39;5809,37;6549,38;2094,69;4016,07;4027,22;4063,11;3,4;3,03;4149,41;3,86;3,51;2464,21;4067,74;4014,87;4025,51;1854,29;1896,26;8,32;4,01;3,04;4,02;3,04;3,51;3,91;2110,85;6035,78;6032,06;2,89;3,04;9960,51;8190,06;8041,25;3913,24;2198,05;12,25
56,34;7,95;8323,23;1919,68;4013,63;4011,28;2101,41;2747,5;3,76;1998,37;2191,44;3,95;3,31;10,86;2050,78;2045,33;2070,36;1861,67;5,28;3,73;4,02;2,96;2,72;2,51;3,4;2,64;10,8;4100,13;4019,39;1910,55;7,3;10222,87;8086,18;8186,13;5857,87;4176,48;1789,94
2027,55;7,69;3898,8;6416,71;2029,59;3995,24;6597,12;5962,72;2,8;3,84;4207,54;1981,96;2029,56;12,21;3943,46;2061,91;4040,51;39,49;4,81;1870,78;3,87;3,39;3,59;2,97;4,61;3,43;10,91;6003,37;4197,48;2,88;1942;8149,42;8087,76;8123,7;3902,23;2038,03;11,39
48,41;14,5;1977,91;4473,35;3954,26;4007,58;4412,46;4307,57;1924,57;4,33;4167,14;3,73;3,51;2014,86;4067,02;3991,34;2025,87;1914,5;6,92;5,01;6,91;3,31;3,27;3,28;4,63;2,72;1953,62;4192,32;6045,15;2,71;2,65;10319,95;8078,09;8059,15;3969,78;1983,21;1819,91
3071,37;2080,44;3836,7;5845,52;2196,47;4010,31;6820,03;6075;2,79;3,03;2115,79;3,34;2,71;9,14;2085,14;2016,35;2092,71;1943,94;1897,11;5,02;1860,81;1954,9;1924,03;1917,59;1905,4;1963,84;11,96;3997,49;4033,96;3,38;2,63;10300,13;7940,63;7908,99;3988,3;3977,49;11,71
57,78;5,24;2692,16;6473,43;4009,96;4086,23;4051,81;3985,19;2,71;2,75;4103,31;3,46;3,71;10,51;4037,7;2050,97;4070,61;38,66;5,27;3,79;3,51;2,99;3,41;2,96;3;2,93;1965,16;6097,51;6094,6;3;3,93;8309,55;8078,84;7989,6;3945,99;2006,4;1860,05
1924,65;8,93;7782,4;1954,05;2508,01;4192,63;8659,59;8188,37;3,51;2130,58;2144,72;3,36;2,86;1978,86;4069,24;4067,44;1969,71;1957,97;5,83;1936,93;3,5;4,19;3,3;2,76;4,72;2,7;11,25;4521,43;4144,62;1997,9;1930,22;10311,07;9995,93;7980,37;3903,87;2044,99;9,84
53,58;5,15;3875,95;4126,28;2085,31;4047,38;3979,87;4001,06;3,14;3,64;4152,62;2044,29;1993,74;9,76;2033,91;2577,66;4138,57;1945,93;4,05;3,87;5,99;3,01;4;3,77;3,14;2,89;10,89;4121,33;4233,91;2,95;3,22;10111,35;10085,04;8065,63;3989,23;3970,49;1820,79
1997,69;9,08;2467,36;1958,54;4505,32;3998,37;6525,52;6027,02;1928,87;2,84;4435,37;3,76;3,42;2243,74;4005,88;2023,81;2082,21;37,49;6,24;10,62;3,32;2,64;3,06;3,09;3,01;2,8;2087,72;6054,11;6081,61;2,95;2,68;8163,5;10453,97;8107,79;3945,35;2303,68;10,09
59,05;6,52;3868,06;5811,2;2529,61;4030,75;6125,45;5988,69;2,82;3,71;2115,93;3,26;2,91;9,7;4038,14;4006,45;2062,24;1953;1888,7;4,83;1885,55;1947,57;1948,03;1920,08;1864,84;1980,12;10,73;4239,28;4190,98;3,78;4,13;10039,42;10301,93;12732,02;4015,81;2029,45;10,25
2004,86;2012,57;1975,76;8269,02;1959,92;4017,52;8499,25;7978,96;2,9;2,8;4184,93;3,63;3,81;12,98;2049,62;2017,29;4801,27;1884,57;3,74;1921,67;3,31;2,87;3,76;3,37;2,83;2,63;1956,63;4115,56;6057,62;2,83;1933,27;10154,57;8119,25;10159,77;4098,71;3995,77;1808,35
53,81;3,7;5817;1995,97;1920,39;4021,67;6596,21;6042,18;3,52;2129,02;2118,2;3,1;3,12;1972,86;4083,12;2037,89;2063,04;39,34;6,42;5,82;3,31;2,75;2,2;2,81;3,09;2,81;9,79;6046,1;4092,22;2015,6;3,04;7852,67;7966,65;10203,16;3879,04;2087,5;9,64
2085,38;3,98;2054,76;3966,88;3843,17;6007,31;4558,86;4095,24;2,97;3,06;4134,16;2004,35;1942,35;10,41;3998,16;4058,01;4024,34;1877,63;4,02;4,88;6,33;2,87;2,9;2,81;3,52;3,85;9,17;4083,65;4127,74;2,83;2,94;9967,16;8027,21;8111,5;4233,59;2021,42;1851,04
58,19;7,68;4364,76;4017,41;1942,42;4016,79;9062,62;8090,12;1980,03;3,27;4029,31;3,6;2,71;9,36;2022,06;2039,41;2069,56;1936,09;3,76;4,66;3,1;3,12;2,52;2,92;3,94;3,01;2006,63;4143,1;6299,68;2,7;3,57;9995,92;8043,69;8137,31;3938,68;3915,99;10,05
2093,85;5,77;6695,37;3930,65;2581,3;4259,6;6478,38;6003,9;3,01;4,14;2115,43;3,21;2,89;2009,24;4024,51;2017,84;2092,66;37,76;1933,34;1946,08;1891,84;1899,5;1950,28;1902,98;1876,7;1961,16;10,52;6114,21;4371,86;3,31;1991,25;7996,76;8007,83;8601,16;3981;2046,29;1777,55
48,91;6,11;4177,04;5855,82;2588,25;3981,4;6623,87;6076,04;3,03;3,41;4110,37;4,03;3,8;11,02;4172,67;4004,95;4371,81;1919,87;5,52;4,45;3,79;2,76;2,7;2,63;3,38;2,72;1916,33;4063,91;6060,29;3,02;2,59;10034,66;8103,96;8285,58;4029,16;2059,7;10,02
1858,92;2136,54;6258,89;4387,59;1900,19;4012,68;8076,16;8925,6;3,44;2085,26;2156,35;3,37;3,53;1984,77;2474,83;2011,77;2074,15;2011,51;9,68;6,78;4,32;2,72;3,93;2,76;3,9;3,1;9,43;4122,81;4056,9;2016,47;2,89;10319,07;8171,07;8187,43;4046,19;3964,12;1781,85
48,13;4,06;2055,32;5990;4547,59;4004,98;4057,42;3990,94;3,45;3,52;4183,23;1980,81;1894,29;10,48;4016,87;2013,39;3989,03;39,88;3,16;3,12;3,33;2,97;4,05;3,24;2,89;3,15;8,94;5955,69;4008,46;2,84;4,25;8221,37;8143,54;8005,85;4058,39;2110,74;9,85
2103,18;4,1;4412,97;1932,92;4070,44;4012,67;2263,15;2028,9;2009,27;3,41;4583,91;3,5;3,13;10,15;4054,32;4055,36;2043,22;1932,77;4,55;1961,19;4,43;2,74;3,59;3,11;2,98;3,3;1929,75;4093,71;6052,48;2,71;1974;13700,59;8077,25;8179,04;4063,83;2083,49;10,55
54,82;4,14;4363,85;3956,31;2522,1;4013,36;8966,05;8563,85;2,63;3,43;2114;3,5;3,09;1979,82;1971,65;2017,07;2074,78;1951,17;1921,24;3,61;1957,56;2131;1953,27;1902,69;1909,12;1956,56;9,15;4102,43;6151,18;5,35;3,36;12240,59;8050,68;8212,78;3994,72;3927,5;1842,51
2211,22;3,52;4447,54;5916,75;2572,83;4012,75;6445,69;5993,44;2,9;3,31;4024,83;4,26;4,6;9,14;4011,79;2113,8;4052,03;48,55;5,77;4,81;3,05;2,99;3,54;2,91;3,01;2,92;1902,78;6003,31;6085,19;3,43;2,83;12183,68;8147,27;8059,64;4019,78;2637,58;11,07
53,29;5,84;6143,16;4430,07;1929,24;4468,5;8556,11;8150,24;4,11;2050,02;2166,86;3,45;3,11;13,4;4054,63;4226,84;2173,28;1957,36;3,39;3,49;3,39;3,13;3,21;3;2,89;2,83;9,16;4186,71;6217,89;2012,08;4,07;10051,51;8082,51;8131,33;4062,38;2120,8;1790
1902,45;1933;3926,2;6142,73;4152,68;4007,6;4576,63;4053,27;3,8;2,69;4161,88;1994,27;1990,22;2018,57;2022,27;2043,77;4042,65;1964,32;6,53;1942,72;4,66;4,01;4,57;3,68;4,16;3,08;9,44;4049,88;6191,68;4,24;1939,73;10343,92;8092,5;8052,43;4009,92;4013,09;10,68
50,28;4,08;2025,96;3952,22;2037,51;4011,45;4212,39;4002,19;2005,18;3,03;4140,21;4,37;3;9,53;4070,75;1957,36;2079,71;39,58;5,36;4,09;3,37;3,32;2,93;4,22;3,37;2,91;1940,89;6151,09;6098,1;2,76;4,56;8071,84;8297,45;8122,46;4022,93;1996,47;1822,34
